#,ID,Title,Authors,Year,Source.title..Please..make.sure.to.enter.this.correctly..we.needed.to.check.if.it.belongs.to.predatory.journals.,Volume,Issue,Art_No,Page_start,Page_end,Page_count,Cited_by,DOI,Link,Exclusion_reason
203,225,Irrigation and maize cultivation erode plant diversity within crops in mediterranean dry cereal agro-ecosystems,"Fag˙ndez J., Olea P.P., Tejedo P., Mateo-Tom·s P., GÛmez D.",2016,Environmental Management,58,1,NA,164,174,NA,4,10.1007/s00267-016-0691-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961208237&doi=10.1007%2fs00267-016-0691-5&partnerID=40&md5=6331585843bbcf8c31a0945762c1e459,Not compare biodiversity
204,226,"Field scale functional agrobiodiversity in organic wheat: effects on weed reduction, disease susceptibility and yield","Costanzo A., B‡rberi P.",2016,European Journal of Agronomy,76,NA,NA,1,16,NA,4,10.1016/j.eja.2016.01.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977627066&doi=10.1016%2fj.eja.2016.01.012&partnerID=40&md5=bcf8a2b4f2e2177f981825680ca69abc,Not compare biodiversity
205,227,Alternative scenarios of bioenergy crop production in an agricultural landscape and implications for bird communities,"Blank P.J., Williams C.L., Sample D.W., Meehan T.D., Turner M.G.",2016,Ecological Applications,26,1,NA,42,54,NA,4,10.1890/14-1490.1/suppinfo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959455741&doi=10.1890%2f14-1490.1%2fsuppinfo&partnerID=40&md5=cd2a7731a335271a91c6f5fff2d400fa,Irrelevant 
206,229,Nutritional functional trait diversity of crops in south-eastern senegal,Wood S.A.,2018,Journal of Applied Ecology,55,1,NA,81,91,NA,3,10.1111/1365-2664.13026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037674091&doi=10.1111%2f1365-2664.13026&partnerID=40&md5=7c8cdffee2e255f9e58bc26b62e867bd,Irrelevant 
207,231,"Decrease of weed species diversity in baden-wuerttembergia - a comparison of vegetation surveys in 1948/49, 1975-1978 and 2011 in the area of mehrstetten - recommendations for agriculture and nature conservation [r„ºckgang von ackerunkr„§utern in baden-w„ºrttemberg - ein vergleich von vegetationskundlichen erhebungen in den jahren 1948/49, 1975-1978 und 2011 im raum mehrstetten - empfehlungen f„ºr landwirtschaft und naturschutz]","Gerhards R., Dieterich M., Schumacher M.",2013,Gesunde Pflanzen,65,4,NA,151,160,NA,3,10.1007/s10343-013-0306-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888058428&doi=10.1007%2fs10343-013-0306-5&partnerID=40&md5=96e848971fe924766a85653a2e9af075,Not English
208,232,Effects of different soil tillage systems on weed biodiversity and wheat yield in winter wheat (triticum aestivum l.) field,"Tian X., Bo C., Li L., Xu D., Ning T., Han H., Tian S., Li Z.",2011,Shengtai Xuebao/ Acta Ecologica Sinica,31,10,NA,2768,2775,NA,3,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957789400&partnerID=40&md5=8171eb7421e7f556fb34343145697a19,Unavailable study
209,233,Farm-level agricultural biodiversity in the peruvian andes is associated with greater odds of women achieving a minimally diverse and micronutrient adequate diet,"Jones A.D., Creed-Kanashiro H., Zimmerer K.S., De Haan S., Carrasco M., Meza K., Cruz-Garcia G.S., Tello M., Plasencia Amaya F., Marin R.M., Ganoza L.",2018,Journal of Nutrition,148,10,NA,1625,1637,NA,2,10.1093/jn/nxy166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054413658&doi=10.1093%2fjn%2fnxy166&partnerID=40&md5=b72d27e01da248d005cd56a99cfaa994,Irrelevant 
210,234,The value of pollinator species diversity most crop-visiting species are needed to ensure high levels of crop pollination,Kremen C.,2018,Science,359,6377,NA,741,742,NA,2,10.1126/science.aar7614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042201245&doi=10.1126%2fscience.aar7614&partnerID=40&md5=9137af9446f69ecc52e73cbd390a5ab4,Different Output 
211,235,Intercropping maize with legumes for sustainable highland maize production,"Punyalue A., Jamjod S., Rerkasem B.",2018,Mountain Research and Development,38,1,NA,35,44,NA,2,10.1659/MRD-JOURNAL-D-17-00048.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045841820&doi=10.1659%2fMRD-JOURNAL-D-17-00048.1&partnerID=40&md5=a88d9f3cbf4f79b0962ea6031c6e6c92,Missing data
212,237,Can management improve the value of shade plantations for the endemic species of s„£o tom„© island?,"De Lima R.F., Viegas L., SolÈ N., Soares E., Dallimer M., Atkinson P.W., Barlow J.",2014,Biotropica,46,2,NA,238,247,NA,2,10.1111/btp.12092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896865235&doi=10.1111%2fbtp.12092&partnerID=40&md5=1456ae11c93d6cee9d0586b2b8b0165f,Not compare simplifiedd vs diversified
213,238,Assessment of on-farm conservation of dryland agrobiodiversity and its impact on rural livelihoods in the fertile crescent,"Mazid A., Shideed K., Amri A.",2014,Renewable Agriculture and Food Systems,29,4,NA,366,377,NA,2,10.1017/S1742170513000240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890935799&doi=10.1017%2fS1742170513000240&partnerID=40&md5=5d0c0bd758750aecd35f14d26a34e120,Not compare biodiversity
214,239,Probable agricultural biodiversity heritage sites in india: xvi. the koraput region,Singh A.K.,2013,Asian Agri-History,17,2,NA,97,122,NA,2,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876400024&partnerID=40&md5=33282628e56158d2d62afe6d2a6cd122,Qualitative 
215,240,Simplification of shade tree diversity reduces nutrient cycling resilience in coffee agroforestry,"Nesper M., Kueffer C., Krishnan S., Kushalappa C.G., Ghazoul J.",2019,Journal of Applied Ecology,56,1,NA,119,131,NA,1,10.1111/1365-2664.13176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047784828&doi=10.1111%2f1365-2664.13176&partnerID=40&md5=02521d161563bf9da68f11dd7d25da11,Different Output 
216,241,Livelihood implications of in situ-on farm conservation strategies of fruit species in uzbekistan,"Gotor E., Bellon M.R., Turdieva M., Baymetov K., Nazarov P., Dorohova-Shreder E., Arzumanov V., Dzavakyants M., Abdurasulov A., Chernova G., Butkov E., Caracciolo F.",2018,Agroforestry Systems,92,5,NA,1253,1266,NA,1,10.1007/s10457-017-0069-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011298661&doi=10.1007%2fs10457-017-0069-6&partnerID=40&md5=b098adcd4a29b2ecfa196c16625988d4,Qualitative 
217,243,Eighteen-year farming management moderately shapes the soil microbial community structure but promotes habitat-specific taxa,"Chen H., Xia Q., Yang T., Shi W.",2018,Frontiers in Microbiology,9,NA,1776,NA,NA,NA,1,10.3389/fmicb.2018.01776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051054425&doi=10.3389%2ffmicb.2018.01776&partnerID=40&md5=f883c8579ed02ad6f0cce9d4b08b4f38,Missing data
218,244,Monitoring the impact of hedgerows and grass strips on the performance of multiple ecosystem service indicators,"Van Vooren L., Reubens B., Ampoorter E., Broekx S., Pardon P., Van Waes C., Verheyen K.",2018,Environmental Management,62,2,NA,241,259,NA,1,10.1007/s00267-018-1043-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047894606&doi=10.1007%2fs00267-018-1043-4&partnerID=40&md5=7bb6f941713c42d5bd26519f24b4407b,Not compare simplifiedd vs diversified
219,245,Effect of long-term fertilization pattern on weed community diversity in wheat field,"Jiang M., Shen M.X., Shen X.P., Dai Q.G.",2014,Shengtai Xuebao/ Acta Ecologica Sinica,34,7,NA,1746,1756,NA,1,10.5846/stxb201305141056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899017642&doi=10.5846%2fstxb201305141056&partnerID=40&md5=4dc9c17ed31e87630ed103660e79e8d7,Not compare biodiversity
220,246,Effect of agricultural land use types on soil mite communities in north china,"Han X.M., Li D.D., Liang Z.A., Chen Y.F., Hu C.",2013,Shengtai Xuebao/ Acta Ecologica Sinica,33,16,NA,5026,5034,NA,1,10.5846/stxb201304080630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881638748&doi=10.5846%2fstxb201304080630&partnerID=40&md5=fee81c4582c0a89b7b53371ecdfd301b,Not English
221,247,"Plant species richness and soil nutrients in a 35-year old cashew nut plantation in isuochi, southern nigeria","Nzegbule E.C., Onyema M.C., Ndelekwute S.C.",2013,Tropical Ecology,54,2,NA,205,212,NA,1,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871562332&partnerID=40&md5=13d0056a49ddd5cba3d493f6ac9cfa1f,Not compare simplifiedd vs diversified
222,248,"Agricultural biodiversity and ecosystem services of major farming systems: a case study in yayo coffee forest biosphere reserve, southwestern ethiopia","Duguma M.S., Feyssa D.H., Biber-Freudenberger L.",2019,Agriculture (Switzerland),9,3,48,NA,NA,NA,NA,10.3390/agriculture9030048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063619342&doi=10.3390%2fagriculture9030048&partnerID=40&md5=c5ba9b9aa4127172dc30bab12477a5c0,Missing data
223,249,Ex situ conservation of agro-biodiversity of major food legumes in the philippines,"Borines N.O.M., Borromeo T.H., Dr De Chavez H., Capistrano M.P.",2019,IOP Conference Series: Earth and Environmental Science,230,NA,12113,NA,NA,NA,NA,10.1088/1755-1315/230/1/012113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062548484&doi=10.1088%2f1755-1315%2f230%2f1%2f012113&partnerID=40&md5=02e695cb548bc397376a6df98226f5f0,Qualitative 
224,250,Remediation of deterioration in microbial structure in continuous pinellia ternata cropping soil by crop rotation,"He Z., Mao R., E Dong J., Liang Z., Zhang H., Liu L.",2019,Canadian Journal of Microbiology,65,4,NA,282,295,NA,NA,10.1139/cjm-2018-0409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063638954&doi=10.1139%2fcjm-2018-0409&partnerID=40&md5=2dca7bf7229ae8112e74161ae3d79c22,Not abundance or richness
225,251,"Permaculture farmers consistently cultivate perennials, crop diversity, landscape heterogeneity and nature conservation","Hirschfeld S., Van Acker R.",2019,Renewable Agriculture and Food Systems,NA,NA,NA,NA,NA,NA,NA,10.1017/S1742170519000012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061547650&doi=10.1017%2fS1742170519000012&partnerID=40&md5=1d98f00d013a7763f64e0c4cf5f8349e,Qualitative 
226,252,Agro-environmental aspects of conservation agriculture compared to conventional systems: a 3-year experience on 20 farms in the po valley (northern italy),"Perego A., Rocca A., Cattivelli V., Tabaglio V., Fiorini A., Barbieri S., Schillaci C., Chiodini M.E., Brenna S., Acutis M.",2019,Agricultural Systems,168,NA,NA,73,87,NA,NA,10.1016/j.agsy.2018.10.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056222702&doi=10.1016%2fj.agsy.2018.10.008&partnerID=40&md5=d5a0cf3d01bbe4e7e077929187f93b52,Different Output 
227,254,Crop heterogeneity and non-crop vegetation can enhance avian diversity in a tropical agricultural landscape in southern china,"Lee M.B., Goodale E.",2018,"Agriculture, Ecosystems and Environment",265,NA,NA,254,263,NA,NA,10.1016/j.agee.2018.06.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049103391&doi=10.1016%2fj.agee.2018.06.016&partnerID=40&md5=685e245697cc7ad16603de2f287ebce4,Not compare simplifiedd vs diversified
228,255,Mixed cropping regimes promote the soil fungal community under zero tillage,"Silvestro L.B., Biganzoli F., Stenglein S.A., Forjan H., Manso L., Moreno M.V.",2018,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",111,7,NA,1055,1064,NA,NA,10.1007/s10482-017-1005-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038628819&doi=10.1007%2fs10482-017-1005-5&partnerID=40&md5=0285de1fc8ef1bb15217a1e83dd51356,Not compare simplifiedd vs diversified
229,256,The association of windmills with conservation of pollinating insects and wild plants in homogeneous farmland of western poland,"Pustkowiak S., Banaszak-Cibicka W., Mielczarek L.E., Tryjanowski P., SkÛrka P.",2018,Environmental Science and Pollution Research,25,7,NA,6273,6284,NA,NA,10.1007/s11356-017-0864-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038083687&doi=10.1007%2fs11356-017-0864-7&partnerID=40&md5=0b2e5926fd9ee16c25c7aa3950db3715,Different Output 
230,257,Plant functional types differ between the grassland and savanna biomes along an agro-ecosystem disturbance gradient in south africa,"Botha M., Siebert S.J., Van den Berg J., Ellis S.M., Dreber N.",2017,South African Journal of Botany,113,NA,NA,308,317,NA,NA,10.1016/j.sajb.2017.09.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034063180&doi=10.1016%2fj.sajb.2017.09.008&partnerID=40&md5=c2878553c96857b590ebd958b20b114a,Not compare simplifiedd vs diversified
231,258,"Ethnobotany, landraces diversity and potential vitamin a rich cultivars of sweet potato (ipomoea batatas (l.] lam.) in southern and central benin","Sanoussi A.F., Dansi A., Orobiyi A., Gbaguidi A., Agre A.P., Dossou-Aminon I., Sanni A.",2017,Genetic Resources and Crop Evolution,64,6,NA,1431,1449,NA,NA,10.1007/s10722-016-0447-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988596664&doi=10.1007%2fs10722-016-0447-3&partnerID=40&md5=5dbef201d45456c665a484228cf8a7de,Qualitative 
232,259,Adaptive soil management: a tool for plant fitness in stressful environment through microbial integrity,"Saha N., Roy S.S., Biswas S., Datta S.",2017,Adaptive Soil Management: From Theory to Practices,NA,NA,NA,277,299,NA,NA,10.1007/978-981-10-3638-5_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056332570&doi=10.1007%2f978-981-10-3638-5_14&partnerID=40&md5=7dedab937eee2478d5e0a8d86bb07956,Irrelevant 
233,261,Plant diversity effects on grassland productivity are robust to both nutrient enrichment and drought,"Craven D., Isbell F., Manning P., Connolly J., Bruelheide H., Ebeling A., Roscher C., van Ruijven J., Weigelt A., Wilsey B., Beierkuhnlein C., de Luca E., Griffin J.N., Hautier Y., Hector A., Jentsch A., Kreyling J., Lanta V., Loreau M., Meyer S.T., Mori A.S., Naeem S., Palmborg C., Wayne Polley H., Reich P.B., Schmid B., Siebenk‰s A., Seabloom E., Thakur M.P., Tilman D., Vogel A., Eisenhauer N.",2016,Philosophical Transactions of the Royal Society B: Biological Sciences,371,1694,20150277,NA,NA,8,48,10.1098/rstb.2015.0277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964460568&doi=10.1098%2frstb.2015.0277&partnerID=40&md5=d85ef56c83913893fa6d19a109ce8a72,It's a meta-analysis or review
234,262,"Nutrient enrichment, biodiversity loss, and consequent declines in ecosystem productivity","Isbell F., Reich P.B., Tilman D., Hobbie S.E., Polasky S., Binder S.",2013,Proceedings of the National Academy of Sciences of the United States of America,110,29,NA,11911,11916,NA,203,10.1073/pnas.1310880110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880386652&doi=10.1073%2fpnas.1310880110&partnerID=40&md5=f1f725bb9de5e06f67cc27c8a37beeb8,Not compare biodiversity
235,263,Climate extremes initiate ecosystem-regulating functions while maintaining productivity,"Jentsch A., Kreyling J., Elmer M., Gellesch E., Glaser B., Grant K., Hein R., Lara M., Mirzae H., Nadler S.E., Nagy L., Otieno D., Pritsch K., Rascher U., Sch‰dler M., Schloter M., Singh B.K., Stadler J., Walter J., Wellstein C., Wˆllecke J., Beierkuhnlein C.",2011,Journal of Ecology,99,3,NA,689,702,NA,157,10.1111/j.1365-2745.2011.01817.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954452814&doi=10.1111%2fj.1365-2745.2011.01817.x&partnerID=40&md5=938ce65cf445b148fc6eea5b0c5b0d40,Irrelevant 
236,264,Diversity effects on production in different light and fertility environments: an experiment with communities of annual plants,Fridley J.D.,2003,Journal of Ecology,91,3,NA,396,406,NA,101,10.1046/j.1365-2745.2003.00775.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038727335&doi=10.1046%2fj.1365-2745.2003.00775.x&partnerID=40&md5=75ef5dd1410f58084106709770456c72,Not compare biodiversity
237,265,Biodiversity for multifunctional grasslands: equal productivity in high-diversity low-input and low-diversity high-input systems,"Weigelt A., Weisser W.W., Buchmann N., Scherer-Lorenzen M.",2009,Biogeosciences,6,8,NA,1695,1706,NA,84,10.5194/bg-6-1695-2009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650060156&doi=10.5194%2fbg-6-1695-2009&partnerID=40&md5=4f13831ea38c4b469e89f9efec0e40c5,Different Output 
238,266,Communities of different plant diversity respond similarly to drought stress: experimental evidence from field non-weeded and greenhouse conditions,"Lanta V., Dolezal J., Zemkov· L., Leps J.",2012,Naturwissenschaften,99,6,NA,473,482,NA,9,10.1007/s00114-012-0922-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863719272&doi=10.1007%2fs00114-012-0922-4&partnerID=40&md5=990956646ce05ccda94863d57d92d4cd,Not compare biodiversity
239,267,Grassland resistance and resilience after drought depends on management intensity and species richness,"Vogel A., Scherer-Lorenzen M., Weigelt A.",2012,PLoS ONE,7,5,e36992,NA,NA,NA,83,10.1371/journal.pone.0036992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861219951&doi=10.1371%2fjournal.pone.0036992&partnerID=40&md5=d46323eff86bf5f554631680060f4f17,Different Output 
240,268,Effects of species and functional group richness on production in two fertility environments: an experiment with communities of perennial plants,"Lanta V., Leps J.",2007,Acta Oecologica,32,1,NA,93,103,NA,17,10.1016/j.actao.2007.03.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250174503&doi=10.1016%2fj.actao.2007.03.007&partnerID=40&md5=0674bb10867ca3e9ee9142dc93e17fe1,Forest plantation or natural land
241,269,"Biodiversity, phenology and temporal niche differences between native- and novel exotic-dominated grasslands","Wilsey B.J., Daneshgar P.P., Polley H.W.",2011,"Perspectives in Plant Ecology, Evolution and Systematics",13,4,NA,265,276,NA,57,10.1016/j.ppees.2011.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455199189&doi=10.1016%2fj.ppees.2011.07.002&partnerID=40&md5=e362ba46ee862d3b48f2d3ddb24eb64e,Not compare simplifiedd vs diversified
242,270,Diversity-dependent production can decrease the stability of ecosystem functioning,"Pfisterer A.B., Schmid B.",2002,Nature,416,6876,NA,84,86,NA,252,10.1038/416084a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037034840&doi=10.1038%2f416084a&partnerID=40&md5=538ecbf83d2c31ab9459ba9574ec3f88,Not compare biodiversity
243,271,A plant diversity„ówater chemistry experiment in subalpine grassland,"Rixen C., Huovinen C., Huovinen K., Stˆckli V., Schmid B.",2008,"Perspectives in Plant Ecology, Evolution and Systematics",10,1,NA,51,61,NA,14,10.1016/j.ppees.2007.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949217364&doi=10.1016%2fj.ppees.2007.09.003&partnerID=40&md5=568fcce28279215e6252719eccdce5a1,Not compare biodiversity
244,272,Diversity effects in early- and mid-successional species pools along a nitrogen gradient,"Wacker L., Baudois O., Eichenberger-Glinz S., Schmid B.",2009,Ecology,90,3,NA,637,648,NA,36,10.1890/07-1946.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63849276684&doi=10.1890%2f07-1946.1&partnerID=40&md5=13d7125437b8b4f42a03f2bb4f39f5bf,Not compare biodiversity
245,273,Do european agroforestry systems enhance biodiversity and ecosystem services? a meta-analysis,"Torralba M., Fagerholm N., Burgess P.J., Moreno G., Plieninger T.",2016,"Agriculture, Ecosystems and Environment",230,NA,NA,150,161,NA,87,10.1016/j.agee.2016.06.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974603309&doi=10.1016%2fj.agee.2016.06.002&partnerID=40&md5=706b7aed71ed5ef924b8c60194669967,It's a meta-analysis or review
246,274,"Correlations in species richness between taxa depend on habitat, scale and landscape context","Ekroos J., Kuussaari M., Tiainen J., Heliˆl‰ J., Seimola T., Helenius J.",2013,Ecological Indicators,34,NA,NA,528,535,NA,26,10.1016/j.ecolind.2013.06.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880357154&doi=10.1016%2fj.ecolind.2013.06.015&partnerID=40&md5=abfae81b60ecdead14e98c92f13f5d1f,Not compare simplifiedd vs diversified
247,276,Driving competitive and facilitative interactions in oak dehesas through management practices,"Moreno Marcos G., Obrador J.J., GarcÌa E., Cubera E., Montero M.J., Pulido F., Dupraz C.",2007,Agroforestry Systems,70,1,NA,25,40,NA,68,10.1007/s10457-007-9036-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247346951&doi=10.1007%2fs10457-007-9036-y&partnerID=40&md5=7b9de310b7238b0e2653ca46142198a7,Not compare biodiversity
248,277,"Effects of riparian buffer strips on ground beetles (coleoptera, carabidae) within an agricultural landscape","Stockan J.A., Baird J., Langan S.J., Young M.R., Iason G.R.",2014,Insect Conservation and Diversity,7,2,NA,172,184,NA,10,10.1111/icad.12043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897593205&doi=10.1111%2ficad.12043&partnerID=40&md5=a2d32da44ef98e5587e8e02954ee5638,Forest plantation or natural land
249,278,Traditional forest management: do carabid beetles respond to human-created vegetation structures in an oak mosaic landscape?,"Taboada A., Kotze D.J., T·rrega R., Salgado J.M.",2006,Forest Ecology and Management,237,NA,NA,436,449,NA,50,10.1016/j.foreco.2006.09.077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751538257&doi=10.1016%2fj.foreco.2006.09.077&partnerID=40&md5=5d3626d4392f39f0d6cb78dd688827b1,Forest plantation or natural land
250,279,Birds on farmsteads - effects of landscape and farming characteristics,"Ahnstrˆm J., Berg ≈., Sˆderlund H.",2008,Ornis Fennica,85,3,NA,98,108,NA,10,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049128714&partnerID=40&md5=81a24d50c5128ebf5f97a3797401b961,Missing data
251,281,Effects of mediterranean dehesa management on epiphytic lichens,"AragÛn G., LÛpez R., MartÌnez I.",2010,Science of the Total Environment,409,1,NA,116,122,NA,23,10.1016/j.scitotenv.2010.09.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149360996&doi=10.1016%2fj.scitotenv.2010.09.034&partnerID=40&md5=467cff1f0085b9711a23bc423314d58f,Not compare simplifiedd vs diversified
252,282,"Carabid assemblages in agricultural landscapes: impacts of habitat features, landscape context at different spatial scales and farming intensity","Aviron S., Burel F., Baudry J., Schermann N.",2005,"Agriculture, Ecosystems and Environment",108,3,NA,205,217,NA,132,10.1016/j.agee.2005.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-22544469177&doi=10.1016%2fj.agee.2005.02.004&partnerID=40&md5=b7a313b17e133dc425ccd460f00ae556,Not compare simplifiedd vs diversified
253,283,Ground-living spider assemblages from mediterranean habitats under different management conditions,"Barriga J.C., Lassaletta L., Moreno A.G.",2010,Journal of Arachnology,38,2,NA,258,269,NA,11,10.1636/P09-40.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956711492&doi=10.1636%2fP09-40.1&partnerID=40&md5=6e41cd3d0c80b1f0ce0a1655fd9dd09e,Not compare simplifiedd vs diversified
254,284,Effects of local and landscape scale and cattle grazing intensity on orthoptera assemblages of the hungarian great plain,"Bat·ry P., Orci K.M., B·ldi A., Kleijn D., Kisbenedek T., Erdos S.",2007,Basic and Applied Ecology,8,3,NA,280,290,NA,61,10.1016/j.baae.2006.03.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847356858&doi=10.1016%2fj.baae.2006.03.012&partnerID=40&md5=feb3275bae93284a56c197ed7d5f7f03,Not compare biodiversity
255,285,Composition and diversity of bird communities in swedish farmland‚Äìforest mosaic landscapes: the amount of forest (at local and landscape scales and occurrence of residual habitats at the local scale are shown to be the major factors influencing bird community composition in farmland‚Äìforest landscapes in central sweden,Berg ≈.,2002,Bird Study,49,2,NA,153,165,NA,55,10.1080/00063650209461260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036071940&doi=10.1080%2f00063650209461260&partnerID=40&md5=9ca2d39fd613f309a7cd38200325c032,Not compare simplifiedd vs diversified
256,286,Soil organic carbon stock assessment for the different cropland land uses in italy,"Chiti T., Gardin L., Perugini L., Quaratino R., Vaccari F.P., Miglietta F., Valentini R.",2012,Biology and Fertility of Soils,48,1,NA,9,17,NA,41,10.1007/s00374-011-0599-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855275110&doi=10.1007%2fs00374-011-0599-4&partnerID=40&md5=56850e9bf1ee57b5b00c504f92cab599,Different Output 
257,287,Land use intensity drives the local variation of lichen diversity in mediterranean ecosystems sensitive to desertification,"Giordani P., Incerti G., Rizzi G., Ginaldi F., Viglione S., Rellini I., Brunialti G., Malaspina P., Modenesi P. ",2010,"Biology of Lichens ‚Äì Symbiosis, Ecology, Environm. Monitoring, Systematics, Cyber Applications",105,NA,NA,139,148,NA,NA,NA,NA,Not compare simplifiedd vs diversified
258,288,Soil carbon storage in silvopastoral systems and a treeless pasture in northwestern spain,"Howlett D.S., Mosquera-Losada M.R., Nair P.R.R., Nair V.D., Rigueiro-RodrÌguez A.",2011,Journal of Environmental Quality,40,3,NA,825,832,NA,39,10.2134/jeq2010.0145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954633062&doi=10.2134%2fjeq2010.0145&partnerID=40&md5=eb895e09007482f0db2eac2c48e386b2,Different Output 
259,289,"Trees' role in nitrogen leaching after organic, mineral fertilization: a greenhouse experiment","LÛpez-DÌaz M.L., Rolo V., Moreno G.",2011,Journal of Environmental Quality,40,3,NA,853,859,NA,7,10.2134/jeq2010.0165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956064278&doi=10.2134%2fjeq2010.0165&partnerID=40&md5=995bd2f20b255b7f4ebeeadc080b576c,Different Output 
260,290,The importance of the surroundings: are bird communities of riparian galleries influenced by agroforestry matrices in sw iberian peninsula?,"Pereira P., Godinho C., Gomes M., RabaÁa J.E.",2014,Annals of Forest Science,71,1,NA,33,41,NA,12,10.1007/s13595-012-0228-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891124600&doi=10.1007%2fs13595-012-0228-x&partnerID=40&md5=aa6d10122861b6df03ab8e7b3abd9220,Not functional group
261,291,Shrubs affect soil nutrients availability with contrasting consequences for pasture understory and tree overstory production and nutrient status in mediterranean grazed open woodlands,"Rolo V., LÛpez-DÌaz M.L., Moreno G.",2012,Nutrient Cycling in Agroecosystems,93,1,NA,89,102,NA,17,10.1007/s10705-012-9502-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861342735&doi=10.1007%2fs10705-012-9502-4&partnerID=40&md5=01953bf866258436a18ba580b5d60907,Not compare biodiversity
262,292,Soil organic matter content and composition as influenced by soil management in a semi-arid mediterranean agro-silvo-pastoral system,"Seddaiu G., Porcu G., Ledda L., Roggero P.P., Agnelli A., Corti G.",2013,"Agriculture, Ecosystems and Environment",167,NA,NA,1,11,NA,55,10.1016/j.agee.2013.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874574763&doi=10.1016%2fj.agee.2013.01.002&partnerID=40&md5=5239bf27b9bd568ea93c12fc4f7b2bcc,Different Output 
263,293,"Comparison of methane, nitrous oxide fluxes and co2 respiration rates from a mediterranean cork oak ecosystem and improved pasture","Shvaleva A., Costa e Silva F., Costa J.M., Correia A., Anderson M., Lobo-do-Vale R., Fangueiro D., Bicho C., Pereira J.S., Chaves M.M., Skiba U., Cruz C.",2014,Plant and Soil,374,NA,NA,883,898,NA,8,10.1007/s11104-013-1923-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890889707&doi=10.1007%2fs11104-013-1923-6&partnerID=40&md5=6ff8183a2b680ae74bab323602d3b734,Different Output 
